ts	chunk_id	reason	eligible_words	n_words_remove	requested_random_sets	max_unique_sets_possible
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2035	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1239	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk157	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk573	eligible_words_lt_N_WORDS_REMOVE	2	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1541	eligible_words_lt_N_WORDS_REMOVE	4	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3258	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1160	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk5043	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk4475	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk4438	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk745	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk1361	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk672	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2559	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk605	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1805	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4898	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk353	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk3658	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk145	eligible_words_lt_N_WORDS_REMOVE	1	7	10	
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk2162	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1352	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1533	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6661	comb_space_lt_N_RANDOM_SETS	8	7	10	8
